grab_ID,bestattungs_ID,grabnr_literatur,anzahl_bestattungen,laenge_grabgrube,breite_grabgrube,tiefe_grabgrube,grabbau,stoerung/erhaltung,biologisches_geschlecht,alter,lage,orientierung,blickrichtung,traumata/pathologien,datierung,C-14,ocker,bemerkungen,fundauffuehrung,beil,pfeil,dolch,speer,spitze,pfriem_ahle_nadel,wildschweinhauer,netzsenker,kernstein,abschlag,kratzer,rueckenmesser,stichel,lamelle,klinge,mikrolith,stein,zahn_Elch,zahn_Wildschwein,zahn_Hirsch_Reh,zahn_Ur,zahn_Pferd,zahn_Hund,zahn_Kleinsaeuger,zahn_Mensch,zahn_Baer,zahn_unbestimmt,knochen_Vogel,knochen_Bieber,knochen_unbestimmt,hufe,figur,schildkroetenpanzer
1,1,Grab 1,1,,0.45,0.3,,strak gestoert,unbest,erwachsen,Rueckenstrecker,NW-SO,,,Spaetmesolithikum,,viel,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Grab 2,1,1.8,0.4,0.35,,,m,erwachsen,Rueckenstrecker,NW-SO,,,Spaetmesolithikum,6900+/-65BP,viel,dunkler Erdstreifen entlang des rechten Unterschenkels,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Grab 3,1,,0.5,0.4,kohleartige Einfuellung,wenig gestoert,unbest,erwachsen,Rueckenstrecker,S-N,,,,,,,3xZahn (2xSchneidezahn durchlocht Elch; 1xdurchlocht Ur),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,Grab 4,1,1,0.8,0.45,kohleartige Einfuellung,strak gestoert,unbest,erwachsen,rechter Strecker,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Grab 5,1,,0.3,0.07,schwarze Kulturerde auf der Grabsohle,teilweise gestoert,unbest,infans,linker Strecker,SW-NO,,,,,viel,,32xZahn (26xBackenzahn gespaltet Elch; 6xSchneidezahn gekerbt Elch),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,Grab 6,1,2,0.4,0.23,kohlenartie Einfuellung,wenig gestoert,m?,erwachsen,linker strecker,SW-NO,,,,,mittel,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,Grab 7,1,,0.45,0.2,,wenig gestoert,w?,erwachsen,Rueckenstrecker,N-S,S,,Spaetmesolithikum,,viel,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,Grab 8,1,1,0.25,0.1,,,unbest,infans,rechter Strecker,SW-NO,SO,,Spaetmesolithikum,,viel,,19xZahn (5xElch; 12xSchneidezahn durchlocht Wildschwein; 1xPferd; 1xnich bestimmbar),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,1,0,0,0,0,1,0,0,0,0,0,0
9,9,Grab 9,1,2,0.45,0.1,schwarze Erde; einzelner Stein am Kniegelenk,,w ,erwachsen,rechter Strecker,W-O,S,,Spaetmesolithikum,,partiell Kopf-Beine,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,Grab 10,1,1.9,0.43,0.1,,wenig gestoert,w,erwachsen,Rueckenstrecker,SO-NW,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,Grab 11,2,,0.95,0.15,Stein ueber Kopf,wenig gestoert,unbest,infans,Rueckenstrecker,ONO-WSW,,,Spaetmesolithikum,,viel,,Knochenahle (verziert),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,Grab 12,2,,0.95,0.23,Steinbedeckung,wenig gestoert,unbest,infans,Rueckenstrecker,WSW-ONO,,,,,partiell Beine,,retuschierter Abschlag; Knochenahle; 15xZahn (8xSchneidezahn durchlocht Elch; 3xSchneidezahn durchlocht Wildschwein; 2xSchneidezahn gekerbt Wildschwein; 2xPferd),0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0
12,13,Grab 13,1,,0.2,0.1,,wenig gestoert,unbest,infans,Rueckenstrecker,NO-SW,SW,,,,mittel,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,Grab 14,3,,0.8,0.2,Kohleartige Erde,teilweise gestoert,unbest,erwachsen,Rueckenstrecker,SW-NO,,irgendwas mit dem Lendenwirbel,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,15,Grab 15,3,,0.8,0.2,,teilweise gestoert,unbest,adult,Rueckenstrecker,SW-NO,,Schienbein dreieckiger Querschnitt,Spaetmesolithikum,,,,3xZahn (3xBackenzahn gespalten Elch),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,16,Grab 16,3,,0.8,0.2,,wenig gestoert,w,erwachsen,Rueckenstrecker,NO-SW,S,,Spaetmesolithikum,,viel,,Knochenspeerspitze; 7xZahn (6xBachenzahn gespalten Elch; Schneidezah gekerbt Elch),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,17,Grab 17,1,,0.5,0.8,kohleartige Einfuellung,teilweise gestoert,m,matur,Rueckenstrecker,N-S,O,"stark entwickelte Muskelansaetze am Unterkiefer, Krankheiten in Ober- und Unterkiefer",,,viel,,12xZahn (2xSchneidezahn durchlocht Elche; 5xWildschwein; 3xPferd; 2x nicht bestimmbar),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,3,0,0,0,0,2,0,0,0,0,0,0
15,18,Grab 18,1,1,,0.4,kohleartige Einfuellung,,unbest,infans,Rueckenstrecker,WSW-ONO,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,19,Grab 19,1,2,0.9,0.15,,,unbest,erwachsen,Rueckenstrecker,O-W,,,,,wenig,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,20,Grab 20,1,2,0.4,0.1,,,unbest,erwachsen,Rueckenstrecker,SSW-NNO,,,,,Grabfuellung,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,21,Grab 21,1,1.1,0.3,0.1,,,unbest,infans,Rueckenstrecker,SSW-NNO,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,22,Grab 22,1,,0.3,0.1,,,unbest,infans,Rueckenstrecker,N-S,,,Spaetmesolithikum,,mittel,,Knochenahle; 15xZahn (1xElch; 14xSchneidezahn durchlocht Wildschwein),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,23,Grab 23,1,1.9,0.6,0.13,mehrere Steine an der linken Seite,teilweise gestoert,unbest,erwachsen,Rueckenstrecker,NO-SW,,,Spaetmesolithikum,,mittel,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,24,Grab 24,1,1,0.5,0.1,,strak gestoert,unbest,infans,Rueckenstrecker,SO-NW,,,Spaetmesolithikum,,viel,,Abschlag (Gebrauchsspuren); 72xZahn (63xBackenzaehne durchlocht Elch; Schneidezahn durchbohrt Elch; 4xSchneidezahn gekerbt Wildschwein; 4xSchneidezahn durchlocht Wildschwein),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,25,Grab 25,2,,,0.4,,strak gestoert,unbest,infans,,SW-NO,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,26,Grab 26,2,,,0.45,,strak gestoert,unbest,infans,,SW-NO,,,,,wenig,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,27,Grab 27,5,2,0.9,0.35,,,unbest,infans,Rueckenstrecker,SW-NO,,,Spaetmesolithikum,,viel,,Kratzer; Knochendolch (verziert); Knochenpfriem (gebogen); Knochenahle; 46xZahn (19xBackenzahn gespaltet Elch; Schneidezahn durchbohrt Elch; 19xSchneidezahn gekerbt Wildschwein; 7xHisch/Reh; ,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,20,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0
23,28,Grab 28,5,2,0.9,0.35,,wenig gestoert,unbest,erwachsen,Rueckenstrecker,SW-NO,N,,Spaetmesolithikum,,,,2xZahn (2xSchneidezahn gekerbt Elch),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,29,Grab 29,5,2,0.9,0.35,,,unbest,erwachsen,Rueckenstrecker,ONO-WSW,W,,Spaetmesolithikum,,viel,,23xZahn (20xBackenzah gepaltet Elch; 2xSchneidezahn gekerbt Elch; 1xWildschwein),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,30,Grab 30,5,2,0.9,0.35,,,unbest,infans,rechter Strecker,ONO-WSW,WSW,,Spaetmesolithikum,,viel,,4xZahn (3xBackenzahn Elch; Schneidezahn gekerbt Wildschwein),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,31,Grab 31,5,2,0.9,0.35,,,unbest,infans,Rueckenstrecker,ONO-WSW,,,Spaetmesolithikum,,viel,,41xZahn (37xBackenzahn Elch; 4xSchneidezahn gekerbt Wildschwein),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,32,Grab 32,3,1.6,0.75,0.7,,,unbest,infans,Rueckenstrecker,O-W,,,Spaetmesolithikum,,partiell,,Steinbeil (gruenlich); 2xZahn (2xSchneidezah gekerbt Wildschwein),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,33,Grab 33,3,1.6,0.75,0.7,,,w,erwachsen,Rueckenstrecker,OSO-WNW,WNW,,Spaetmesolithikum,,wenig,,Knochendolch (verziert); 11xZahn (8xBackenzahn gespaltet Elch; 3xSchneidezahn gekerbt Wildschwein),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,34,Grab 34,3,1.6,0.75,0.7,,,unbest,infans,rechter Strecker,OSO-WNW,,,Spaetmesolithikum,,wenig,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,35,Grab 35,1,2.4,0.6,0.3,Stein am Schaedel; kleiner Stein auf linker Schulter; Großesteine am Fußende; 1 kleiner Stein unter dem Fußknochen,,m,erwachsen,Rueckenstrecker,SW-NO,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,36,Grab 36,1,2.8,0.8,0.4,2 Steine an Grubenerweiterung; Stein am Kopf; Stein ber den Fußknochen,,unbest,erwachsen,rechter Strecker,SO-NW,NO,,Spaetmesolithikum,,wenig,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,37,Grab 37,1,1.9,0.5,0.2,2 Steine am Fußende,,m,adult,Bauchstrecker,SSO-NNW,Boden,Tuberkolose (Anzeichen an linken Schluesselbein),Spaetmesolithikum,,wenig,,2xZahn (Schneidezahn durchlocht Elch; Schneidezah gekerbt Wildschwein),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,38,Grab 38,1,1.9,0.5,0.2,2 Steine auf Thorax; 2 Steine unter dem Thorax; Stein am nordende,,unbest,erwachsen,Rueckenstrecker,N-S,O,,Spaetmesolithikum,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,39,Grab 39,1,2.1,0.5,0.25,2 Steine ueber Kopf; Stein am Fußende,,m,erwachsen,Bauchstrecker,N-S,SO,"Karies, degenerative Erkrankung am Oberschenkel",Spaetmesolithikum,6775+/-55BP,partiell Kopf,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,40,Grab 40,1,2,0.6,0.15,,teilweise gestoert,unbest,adult,Rueckenstrecker,NW-SO,,"Karies, Paradontitis und Fistelbildung im Oberkiefer",Spaetmesolithikum,,wenig,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,41,Grab 41,1,1.3,0.3,0.38,,,unbest,infans,Rueckenstrecker,NNO-SSW,SSW,,Spaetmesolithikum,,viel,,Knochenspeerspitze; Mikrolith; Lamelle (lateralretuschiert),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,42,Grab 42,2,2,0.7,0.9,,,m?,adult,Rueckenstrecker,NO-SW,SO,,Spaetmesolithikum,,mittel,,7XZahn (Schneidezahn durchlocht Elch; 6xdurchlocht Pferd),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
32,43,Grab 42a,2,2,0.7,0.9,,,unbest,neonatus,Rueckenstrecker,,,,Spaetmesolithikum,,mittel,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,44,Grab 43,1,1.2,0.5,0.2,,wenig gestoert,unbest,infans,Bauchstrecker,NW-SO,Boden,,Spaetmesolithikum,,viel,,40xZahn (38xSchneidezahn durchlocht Elch; 2xSchneidezahn gekerbt Wildschwein),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,45,Grab 44,1,1,0.33,0.8,,strak gestoert,unbest,infans,Rueckenstrecker,NO-SW,,,Spaetmesolithikum,,Grabfuellung,,Zahn (Schneidezahn durchlocht Elch),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,46,Grab 45,1,2.1,0.7,0.8,mehrere Steine (ausgerichtet) am Nordrand der Grube,,unbest,juvenil,Rueckenstrecker,WNW-OSO,NNO,,Spaetmesolithikum,,viel,,6xKnochenpfeilspitzen; Knochenspeerspitze; 7xZahn (2xSchneidezahn gekerbt Elch; 2xSchneidezahn durchlocht Wildschwein; 3xPferd),0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
36,47,Grab 46,1,2,0.8,0.7,,,unbest,erwachsen,Rueckenstrecker,W-O,,,Spaetmesolithikum,,,,Klinge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,48,Grab 48,4,,1.1,0.2,,teilweise gestoert,unbest,erwachsen,,NO-SW,,,Spaetmesolithikum,,wenig,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,49,Grab 49,4,,1.1,0.2,,,unbest,infans,,SW-NO,,,Spaetmesolithikum,,wenig,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,50,Grab 50,4,,1.1,0.2,,strak gestoert,unbest,erwachsen,,SW-NO,,,Spaetmesolithikum,,wenig,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,51,Grab 51,4,,1.1,0.2,,strak gestoert,unbest,infans,,NO-SW,,,Spaetmesolithikum,,wenig,,Steinbeil (gruenlich); 2xZahn (2xSchneidezahn gekerbt Wildschwein),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,52,Grab 52,1,1.5,0.4,0.22,Steinschicht ueber Kopf,teilweise gestoert,unbest,infans,Rueckenstrecker,SW-NO,NO,,Spaetmesolithikum,,Grabfuellung,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,53,Grab 53,1,1.9,0.6,0.3,,teilweise gestoert,unbest,erwachsen,Rueckenstrecker,S-N,,,,,Grabfuellung,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,54,Grab 54,1,0.9,0.28,0.3,,wenig gestoert,unbest,infans,Rueckenstrecker,NW-SO,,ueberstandende Rachitis (Anzeichen an Langknochen),,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,55,Grab 55,1,0.9,0.25,0.28,,,unbest,infans,Rueckenstrecker,N-S,,,Spaetmesolithikum,,wenig,,Kratzer; 2xAbschlag (1xbasal retuschiert; 1xunbearbeitet); Zahn (Schneidezahn durchlocht Elch),0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,56,Grab 56,1,2,0.5,0.4,,wenig gestoert,m,erwachsen,Rueckenstrecker,SO-NW,O,,,,,,3xAbschalg (2xGebrauchsspuren; 1xohne Gebrauchsspuren); Zahn (Elch),0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,57,Grab 57,1,1.85,0.6,1.1,mehrere Steine in Einfuellung,,w,erwachsen,Rueckenstrecker,NW-SO,S,Schienbein Saebelfoermig gebogen,Spaetmesolithikum,6825+/-60BP,viel,,Steinbeil (sorgfaeltig geschliffen); Rueckenmesser; Abschlag; Stichel (Mikrolith); Kratzer; Knochendolch (Griff in Form eines Elches); Knochenspeerspitze; 48xZahn (11xSchneidezahn durchlocht Elch; 14xElch; 23xHirsch/Reh) ,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,58,Grab 58,1,2.2,0.6,0.48,,,m,juvenil,Rueckenstrecker,W-O,S,Kompressionsbruch des 4. Lendenwirbels,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,59,Grab 59,1,,,0.08,2 Steine mittig rechts und links am Rand der Grube ,strak gestoert,unbest,infans,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,60,Grab 60,1,2.2,0.6,1.1,schwarze Erde durchmischt mit Werkzeug; Knochen und Schmuck,,m,erwachsen,Rueckenstrecker,W-O,N,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,61,Grab 62,1,1.9,0.4,0.4,Knochenreste in der Einfuellung,,unbest,infans,Rueckenstrecker,N-S,W,,Spaetmesolithikum,,viel,,38xZahn (3xBackenzahn gespaltet Elch; 7xSchneidezahn gekerbt Elch; 6xSchneidezah durchlocht Elch; 2xElch; 4xSchneidezahn gekerbt Wildschwein; 3xSchneidezahn durchlocht Wildschwein; 9xHirsch/Reh; 2xKleinsaeuger; Hund; Mensch); 2xHuf (gekerbt juveniler Paarhufer); 9xKnochen (Biber),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,9,0,0,1,1,1,0,0,0,9,0,2,0,0
48,62,Grab 63,1,2,0.6,0.5,drei Steine,,m,matur,Bauchstrecker,ONO-WSW,SO,Deprssion im linken Scheitelbein,Spaetmesolithikum,,wenig,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,63,Grab 64,1,,1,0.35,Steinreihe,strak gestoert,unbest,erwachsen,Rueckenstrecker,W-O,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,64,Grab 65,1,,0.5,0.4,,teilweise gestoert,unbest,erwachsen,Rueckenstrecker,SW-NO,,,,,partiell Beine,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,65,Grab 66,1,,0.6,0.45,,strak gestoert,unbest,erwachsen,Rueckenstrecker,NO-SW,,,,,viel,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,66,Grab 67,1,1,0.4,0.6,drei Steine,,unbest,infans,Rueckenstrecker,WNW-OSO,N,Rachitis (Anzeichen an den Beinknochen),Spaetmesolithikum,,viel,,Abschlag (Gebrauchsspuren); Huf (gekerbt juveniler Paarhufer),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,67,Grab 68,1,1.5,0.45,0.35,2 Steine,,unbest,infans,Rueckenstrecker,S-N,,,Spaetmesolithikum,,Grabfuellung,,Zahn (nicht bestimmbar),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,68,Grab 69,1,1.3,0.5,0.3,Stein ueber Thorax,,unbest,infans,Rueckenstrecker,SSW-NNO,,,Spaetmesolithikum,,wenig,,5xZahn (3xElch; 2xWildschwein),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,69,Grab 70,1,2,0.6,0.45,1 Stein ueber Thorax; 1 Stein ueber Kopf; 1 Stein unter Fueßen,,unbest,erwachsen,Bauchstrecker,NNO-SSW,OSO,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,70,Grab 71,1,,0.6,0.6,,strak gestoert,m,erwachsen,,O-W,,,Spaetmesolithikum,,wenig,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,71,Grab 73,1,1.5,0.4,0.5,2 Steine in Grube (innerhalb des Grabes),,unbest,infans,Rueckenstrecker,S-N,,,Spaetmesolithikum,,viel,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,72,Grab 74,1,,0.6,0.4,,wenig gestoert,m,erwachsen,Rueckenstrecker,WSW-ONO,NNW,,Spaetmesolithikum,,viel,,43xZahn (20xBackenzahn gespalten Elch; 7xSchneidezahn gekerbt Elch; Schneidezahn durchlocht Elch; 6xSchneidezahn gekerbt Wildschwein; 8xHirsch/Reh; Hund); Figur (Vogelfigur aus Wildschweinhauer),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,8,0,0,1,0,0,0,0,0,0,0,0,1,0
59,73,Grab 75,1,2,0.35,0.5,,strak gestoert,unbest,erwachsen,,S-N,,,Spaetmesolithikum,,wenig,,Geweihahle; 3xKnochenpfeilspitzen,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
