Name,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Sum,Fe2O3tot,LOI,H2Op,H2Om,CO2,Ba,Cr,Cu,Nb,Ni,Pb,Rb,Sr,V,Y,Zn,Zr
DP 100,64.98,0.64,17.82,,1.11,0.03,0.94,4.76,1.91,3.7,0.15,99.92,4.78,5.11,,,8.72,617,77,6,32,43,26,205,579,102,50,155,174
DP 101,61.06,0.73,18.26,,1.21,0.03,1.22,7.91,1.01,3.27,0.18,100.03,6.15,6.93,,,12.1,741,106,12,22,55,26,181,423,140,35,170,184
DP 102,67.92,0.46,14.09,,1.36,0.04,0.76,8.4,1.75,2.99,0.37,99.7,2.73,6.13,,,13.16,455,80,24,21,55,17,205,632,82,41,138,155
DP 103,64.49,0.66,18.42,,1.65,0.03,1,3.3,1.75,4.57,0.29,99.57,4.8,5.58,,,9.38,921,88,14,27,49,28,237,732,123,43,163,178
DP 104,63.91,0.69,18.2,,1.75,0.03,1.09,4.58,1.75,3.76,0.18,99.59,5.21,5.94,,,9.24,697,82,11,22,41,27,221,470,117,38,157,174
DP 105,60.49,0.76,18.49,,1.86,0.02,1.16,8.36,0.92,3.18,0.18,99.68,5.9,8.06,,,16.35,575,106,7,23,56,29,183,581,147,36,180,195
DP 108,65.18,0.69,18.5,,1.2,0.03,0.95,4.25,1.55,3.45,0.2,100.43,5.44,6.22,,,7.22,556,91,15,20,46,30,179,343,123,36,167,200
DP 109,65.77,0.61,14.86,,2.07,0.02,0.96,7.04,0.72,2.8,0.56,99.55,6.02,8.01,,,17.6,642,94,15,13,103,32,120,408,159,32,246,165
DP 110,64.93,0.64,17.17,,1.16,0.03,0.78,6.32,1.58,3.53,0.21,99.58,4.2,5.3,,,9.05,576,79,6,23,40,24,216,386,111,40,145,179
DP 111,63.14,0.64,16.94,,0.95,0.04,0.97,7.86,1.5,3.23,0.22,99.68,4.96,5.5,,,8.32,499,93,8,20,55,27,205,457,117,36,168,158
DP 112,62.69,0.71,17.84,,1.85,0.03,1.23,7.01,1.23,3.25,0.19,99.65,5.26,7.06,,,14,618,98,36,18,56,26,174,637,130,31,170,180
DP 113,66.27,0.58,17,,1.42,0.03,0.87,4.34,1.86,3.65,0.16,99.53,4.6,5.44,,,8.8,616,75,16,16,42,25,161,413,105,28,156,153
DP 114,61.28,0.71,17.77,,1.02,0.02,1.17,8.26,0.92,3.44,0.27,99.55,5.52,6.53,,,11.88,613,96,5,17,52,27,169,514,142,30,170,173
DP 115,65.02,0.67,18.03,,1.95,0.03,0.99,5.04,1.43,3.46,0.21,100.26,5.06,6.95,,,12.76,728,81,10,14,43,25,149,640,134,27,161,171
DP 116,62.68,0.7,16.32,,1.72,0.03,1.01,8.78,1.02,2.81,0.42,99.64,5.63,6.35,,,13.09,811,91,24,18,69,26,130,772,153,29,189,193
DP 117,61.89,0.65,16.99,,1.46,0.03,1.1,8.52,1.45,2.87,0.17,99.33,5.48,5.89,,,10.7,556,90,6,16,48,25,153,450,122,30,161,183
DP 118,63.02,0.69,18.66,,1.32,0.05,1.09,6,1.67,3.37,0.32,100.32,5.23,5.99,,,9.75,763,87,10,19,50,30,157,600,139,30,178,188
DP 119,67.64,0.6,16.42,,0.78,0.02,0.81,4.38,1.59,3.85,0.29,100.19,4.37,4.68,,,8.39,660,73,10,17,45,21,200,676,108,35,158,156
DP 120,67.27,0.6,17.73,,1.05,0.03,0.87,3.19,1.8,3.7,0.26,100.42,4.74,5.64,,,7.55,663,83,33,33,42,27,242,596,111,53,167,169
DP 121,61.47,0.77,18.88,,1.17,0.03,1.21,7.09,1.16,3.06,0.16,99.93,5.89,6.59,,,8.69,614,96,3,21,53,27,161,574,134,34,175,189
DP 122,66.14,0.65,17.39,,1.2,0.03,1.14,3.59,1.77,3.97,0.28,100.18,5,5.66,,,8.17,739,75,16,21,44,20,185,615,119,33,160,187
DP 124,68.98,0.56,15.9,,1.52,0.04,0.77,3.39,1.86,3.75,0.72,100.01,3.85,3.93,,,7.22,749,72,15,21,55,23,200,396,112,47,191,166
DP 127,65.91,0.59,16.04,,1.84,0.03,0.93,5.8,1.52,3.56,0.35,99.81,4.9,6.49,,,16.21,446,76,4,16,48,29,225,423,118,31,171,169
DP 129,63,0.67,18.28,,1.39,0.03,0.93,5.32,1.87,3.73,0.18,99.53,5.29,4.91,,,7.44,758,80,6,18,43,27,203,524,119,33,154,204
DP 131,66.77,0.57,15.74,,1.56,0.03,0.99,5.98,1.75,3.45,0.58,99.83,3.73,3.51,,,10.01,910,64,15,20,40,24,221,589,100,37,152,180
DP 132,64.02,0.57,16.64,,1.23,0.04,0.93,6.79,1.78,3.98,0.59,99.66,4.05,4.84,,,12.65,1015,75,15,21,40,28,244,814,107,48,147,176
DP 133,62.47,0.71,17.56,,1.67,0.04,0.9,7.8,1.34,3.18,0.78,99.58,4.54,6.04,,,11.14,997,88,4,28,45,25,172,504,127,35,144,232
DP 135,65,0.73,17.74,,0.08,0.04,0.89,4.97,1.63,3.4,0.5,99.82,4.68,5.34,,,10.85,1036,82,7,23,43,25,211,545,116,47,148,234
DP 136,65.57,0.8,18.77,,1.24,0.03,1.29,1.81,1.74,3,0.44,99.63,5.9,5.28,,,4.54,1009,92,8,18,60,25,176,791,132,27,200,213
DP 139,67.26,0.41,13.38,,0.61,0.04,0.8,9.51,2.43,2.94,0.22,99.94,2.81,3.03,,,9.02,475,54,11,17,28,19,156,320,62,32,126,160
DP 142,67.8,0.58,14.63,,1.31,0.03,0.92,5.92,1.18,2.9,0.32,99.85,5.43,5.43,,,11.33,391,85,6,16,57,27,173,187,139,38,185,178
DP 143,69.03,0.54,14.91,,1.4,0.04,0.81,5.95,1.79,2.91,0.38,100.48,3.9,4.95,,,9.57,726,70,4,27,36,23,172,570,88,39,138,201
DP 145,70.79,0.49,15.6,,1.59,0.04,0.67,1.95,2.27,4.21,0.26,99.7,3.25,1.91,,,3.41,518,76,29,29,48,25,268,364,83,61,141,150
DP 147,69.35,0.6,15.86,,0.9,0.04,0.86,2.51,1.61,3.62,0.48,99.6,4.43,4.68,,,6.12,856,84,10,21,44,23,204,627,99,39,145,213
DP 148,65.78,0.56,17.44,,1.47,0.03,0.79,4.58,2.19,4.04,0.3,99.5,3.6,5.36,,,13.2,707,71,9,19,36,20,234,399,89,31,139,175
DP 149,65.34,0.64,17.62,,1.45,0.03,0.98,4.03,1.57,4.13,0.51,99.55,4.46,6.57,,,13.34,828,86,13,23,50,27,214,632,128,35,197,188
DP 152,71.35,0.63,15.89,,1.14,0.02,0.97,1.7,1.3,2.93,0.57,99.73,4.17,5.65,,,6.19,522,102,14,17,84,28,185,305,154,36,244,178
DP 153,65.68,0.56,16.02,,1.28,0.03,0.93,6.61,1.62,3.64,0.38,99.74,4.08,4.14,,,9.31,686,76,4,18,43,25,200,373,103,30,149,177
DP 155,64.05,0.67,17.41,,1.49,0.03,0.82,7.4,1.56,3.1,0.33,99.62,4.03,5.71,,,9.13,696,84,16,27,41,26,198,559,110,38,147,211
DP 157,66.73,0.55,16.6,,1.07,0.03,0.78,4.7,1.8,3.71,0.23,99.82,4.54,4.53,,,7.84,477,68,11,20,41,23,236,246,101,40,139,162
DP 158,64.07,0.65,17.6,,1.41,0.03,0.84,5.71,1.62,3.82,0.42,99.65,4.7,5.2,,,9.64,785,82,10,21,45,22,188,331,118,33,149,184
DP 159,64.87,0.58,17.46,,1.77,0.03,0.87,4.72,1.92,4.06,0.29,99.77,4.81,6.3,,,15.51,594,79,7,19,46,24,251,278,107,37,154,170
DP 160,61.1,0.75,18.78,,1.34,0.03,1.2,7.16,1.09,3.41,0.22,99.59,5.67,6.94,,,10.04,579,104,10,18,55,30,198,287,143,34,170,189
DP 161,62.8,0.69,18.51,,2.02,0.03,1.06,5.52,1.49,3.6,0.25,99.7,5.58,7.04,,,12.57,518,88,3,20,46,25,221,254,127,31,172,179
DP 162,65.11,0.64,17.46,,2.21,0.03,1.06,4.52,1.71,3.65,0.21,99.71,5.13,6.78,,,15.22,570,78,23,21,48,21,219,432,120,62,177,168
DP 163,66.35,0.62,18.46,,1.15,0.04,1.1,2.08,2.23,4.06,0.24,99.8,4.47,4.59,,,4.54,556,71,8,20,37,22,234,229,102,39,162,174