NAME,SIO2,TIO2,AL2O3,FE2O3,FEO,MNO,MGO,CAO,NA2O,K2O,P2O5,Fe2O3 tot,GV,H2OP,H2OM,CO2,BA,CR,CU,GA,NB,NI,PB,RB,SR,TH,V,Y,ZN,ZR
AB 257,52.50,0.82,11.90,,,0.03,1.99,26.90,0.18,2.09,0.42,3.26,,,,,207,60,8,3,15,32,1,73,136,1,97,19,219,192
AB 258,61.10,0.92,15.30,,,0.03,1.53,12.10,0.37,2.35,1.00,4.96,,,,,404,82,13,10,19,47,1,104,92,16,167,40,135,231
AB 259,57.80,0.88,14.90,,,0.06,1.32,16.70,0.21,2.02,0.72,5.00,,,,,274,88,11,9,18,48,1,83,116,13,158,40,123,204
AB 260,53.60,0.76,13.90,,,0.03,1.61,21.50,0.53,2.27,0.65,5.02,,,,,259,70,11,9,12,36,1,72,106,36,109,24,180,201
AB 261,57.70,0.86,13.40,,,0.04,1.41,19.60,0.21,1.74,0.29,4.21,,,,,246,76,9,9,14,36,1,61,108,21,123,25,126,188
AB 262,51.20,0.77,13.30,,,0.05,1.45,24.90,0.23,1.99,1.10,4.81,,,,,279,72,8,5,12,45,1,78,139,7,131,34,132,171
AB 263,60.80,0.95,15.50,,,0.02,1.48,14.10,0.16,2.03,0.37,4.56,,,,,310,94,10,11,18,46,1,86,89,8,177,28,191,236
AB 264,57.20,0.87,15.00,,,0.04,1.46,15.90,0.24,2.05,0.93,6.41,,,,,284,95,11,10,16,52,1,84,106,12,164,41,168,203
AB 265,52.30,0.79,14.70,,,0.03,2.43,22.90,0.19,1.70,0.30,4.81,,,,,230,75,8,7,13,41,1,62,104,6,142,19,156,166
AB 266,46.70,0.76,12.20,,,0.02,1.40,32.50,0.16,1.56,0.94,3.40,,,,,252,63,11,5,13,43,1,59,146,6,118,28,154,163
AB 268,44.00,0.71,12.40,,,0.02,1.51,35.30,0.12,1.58,0.73,3.31,,,,,288,58,7,1,12,35,1,57,149,1,114,23,116,147
AB 269,51.80,0.82,12.20,,,0.01,1.27,28.40,0.13,1.66,0.52,2.73,,,,,221,60,8,4,14,31,1,49,113,3,119,17,95,209
AB 270,64.90,1.00,17.10,,,0.02,1.60,7.18,0.28,2.45,0.23,5.06,,,,,321,94,10,14,21,43,1,98,65,12,212,27,229,259
AB 271,48.70,0.76,13.40,,,0.03,1.39,29.10,0.16,1.85,0.66,3.63,,,,,282,64,5,3,14,36,1,67,143,3,127,31,104,162
AB 272,38.00,0.66,11.40,,,0.03,2.11,42.30,0.11,1.51,0.72,2.91,,,,,215,52,6,1,9,31,1,48,238,1,88,19,107,110
AB 273,55.50,0.85,15.10,,,0.03,1.36,20.40,0.19,1.76,0.33,4.31,,,,,247,72,7,5,14,48,1,69,134,6,149,30,184,192
AB 274,51.50,0.86,14.00,,,0.04,1.13,24.90,0.15,1.99,1.49,3.61,,,,,581,68,6,6,14,37,1,68,172,9,132,35,108,192
AB 275,60.70,1.05,17.30,,,0.02,1.45,10.90,0.19,2.37,1.31,4.55,,,,,359,87,9,12,22,46,1,90,97,13,189,38,236,260
AB 276,58.30,0.94,15.40,,,0.03,1.66,16.20,0.17,2.24,0.33,4.47,,,,,263,69,8,9,18,39,1,87,127,11,169,28,227,219
AB 277,47.30,0.77,14.10,,,0.02,1.76,29.20,0.20,1.90,0.17,4.37,,,,,192,68,7,6,11,37,1,67,123,20,133,15,154,134
AB 278,58.20,0.96,15.70,,,0.02,1.47,15.30,0.16,2.26,1.11,4.68,,,,,524,94,10,11,17,45,1,80,84,34,185,32,173,228
AB 279,55.90,0.86,15.60,,,0.03,1.51,18.50,0.18,1.79,0.48,4.81,,,,,284,90,12,12,16,49,1,78,104,37,165,33,169,195
AB 280,54.00,0.84,14.50,,,0.03,1.44,20.70,0.19,1.94,1.19,4.89,,,,,364,79,15,11,18,54,1,81,116,35,166,38,143,192
AB 281,53.70,0.82,13.60,,,0.02,1.84,22.90,0.20,2.48,0.65,3.62,,,,,275,69,7,8,15,34,1,76,116,27,139,24,143,195