Name,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,SUM  %,Fe2O3tot,L O I,H2Op,H2Om,CO2,Ba,Cr,Cu,Nb,Ni,Pb,Rb,Sr,V,Y,Zn,Zr,,,,,,
DP 1,59.94,0.56,18.58,2.21,2.22,0.04,1.95,1.11,1.61,4.46,0.22,100.32,5.04,7.42,,5.90,12.46,785,94,82,13,53,29,235,96,103,23,102,131,,,,,,
DP 2,60.60,0.57,18.92,1.11,2.92,0.05,1.99,1.12,1.65,4.65,0.31,99.80,4.61,5.90,,4.92,10.85,947,100,59,14,53,30,239,113,102,26,81,136,,,,,,
DP 3,60.74,0.59,18.88,1.67,2.59,0.04,2.04,1.15,1.55,4.46,0.33,99.94,4.82,5.90,,5.46,10.56,923,105,54,13,55,28,228,107,110,27,80,145,,,,,,
DP 4,57.91,0.54,18.02,1.35,2.78,0.04,2.09,1.22,1.54,4.36,0.27,99.88,4.90,9.76,,8.43,17.09,701,94,57,13,53,25,232,88,99,22,85,129,,,,,,
DP 5,59.34,0.64,16.29,3.44,2.51,0.07,2.24,4.08,1.13,3.35,0.25,99.96,6.65,6.61,,5.13,7.70,718,100,236,13,67,32,172,117,98,31,128,120,,,,,,
DP 6,64.15,0.56,15.67,1.18,2.38,0.05,1.82,2.25,2.01,4.07,0.29,99.92,4.04,5.49,,4.39,8.76,767,77,44,17,49,27,239,143,79,35,88,142,,,,,,
DP 7,58.93,0.59,17.24,2.29,2.65,0.07,1.96,2.99,1.90,4.08,0.31,99.78,5.60,6.76,,4.97,12.39,730,88,28,26,57,32,267,117,96,47,101,135,,,,,,
DP 8,66.23,0.48,16.55,1.41,1.97,0.03,1.45,0.90,2.31,4.59,0.14,100.17,3.74,4.10,,4.12,6.38,554,71,23,14,45,26,275,70,78,33,74,140,,,,,,
DP 9,60.09,0.38,16.59,1.37,2.68,0.04,1.51,1.75,2.32,4.42,0.11,99.96,4.75,8.69,,7.26,16.76,613,66,22,14,39,20,243,100,73,24,76,104,,,,,,
DP 10,57.49,0.55,14.34,2.91,2.29,0.05,2.28,5.74,1.06,3.21,0.37,100.04,6.03,9.73,,6.06,14.48,675,103,16,14,55,24,174,215,93,28,101,131,,,,,,
DP 11,64.03,0.74,16.59,4.18,2.06,0.06,2.29,0.98,1.02,3.33,0.11,99.86,6.76,4.47,,5.36,5.13,607,136,18,17,59,31,193,112,121,28,113,168,,,,,,
DP 12,61.17,0.61,16.31,4.00,2.52,0.05,1.90,1.21,1.37,3.54,0.21,99.80,7.28,6.91,,7.11,10.59,612,113,148,16,61,31,216,91,112,24,117,143,,,,,,
DP 13,62.10,0.69,16.00,3.28,2.75,0.04,2.42,1.64,1.04,2.82,0.11,99.72,6.78,6.83,,7.29,10.56,536,124,32,15,62,31,150,106,125,25,95,156,,,,,,
DP 14,59.81,0.66,17.75,3.99,2.29,0.05,2.01,1.25,1.72,3.97,0.28,99.71,6.93,5.93,,5.84,8.43,831,102,29,17,64,34,187,99,101,31,107,137,,,,,,
DP 15,60.03,0.50,15.79,0.23,3.17,0.03,1.90,2.94,1.76,3.88,0.08,99.76,4.13,9.46,,6.79,15.29,532,85,36,15,44,25,204,80,89,25,113,123,,,,,,
DP 16,60.59,0.64,16.21,2.74,2.65,0.05,2.19,1.64,1.51,3.68,0.30,99.68,6.13,7.47,,6.28,12.21,1126,102,16,13,58,37,157,324,106,32,123,174,,,,,,
DP 17,63.44,0.66,15.77,2.46,3.54,0.08,2.35,2.01,0.65,3.08,0.21,99.54,6.73,5.31,,5.03,6.34,725,142,21,15,67,31,153,120,135,26,144,129,,,,,,
DP 19,59.67,0.64,16.00,3.57,2.27,0.07,2.21,3.39,1.59,3.46,0.23,99.93,6.52,6.83,,5.88,7.62,590,87,32,13,57,30,182,138,100,25,118,149,,,,,,
DP 20,62.59,0.53,16.70,0.90,3.19,0.07,1.82,1.68,2.09,4.22,0.17,100.04,4.71,6.09,,5.50,8.61,561,80,21,15,53,35,231,90,86,40,99,146,,,,,,
DP 21,58.74,0.65,15.86,3.21,2.51,0.06,2.20,3.93,1.61,3.45,0.21,99.89,6.46,7.45,,5.54,7.88,585,83,29,14,57,31,177,145,99,26,116,146,,,,,,
DP 22,64.55,0.56,15.39,2.67,2.14,0.09,1.97,1.32,1.99,3.42,0.17,99.86,5.34,5.61,,5.30,7.04,564,151,48,14,138,27,195,98,82,34,97,159,,,,,,
DP 23,62.55,0.53,15.94,2.88,2.23,0.04,1.96,0.94,1.87,3.66,0.09,99.89,5.76,7.20,,6.81,10.70,437,80,33,14,54,30,220,59,91,33,80,124,,,,,,
DP 24,65.36,0.47,15.72,2.21,1.83,0.05,1.58,1.12,1.97,4.07,0.18,99.93,4.47,5.37,,4.31,8.25,652,76,33,15,43,24,190,92,81,29,74,132,,,,,,
DP 25,62.25,0.39,16.18,0.79,2.62,0.05,1.49,1.23,2.23,4.49,0.17,100.40,4.03,8.52,,6.22,15.00,618,71,39,18,45,26,207,91,75,32,87,130,,,,,,
DP 26,65.43,0.46,17.53,1.28,2.22,0.05,1.59,1.05,2.05,4.52,0.26,99.95,3.87,3.52,,3.43,4.32,754,81,27,17,44,27,230,82,90,30,74,121,,,,,,
DP 27,65.40,0.58,17.05,1.04,2.86,0.05,1.70,1.18,2.36,4.42,0.13,100.10,4.35,3.34,,2.99,5.20,646,76,32,18,46,27,210,110,80,33,82,190,,,,,,
DP 28,59.13,0.43,16.86,1.71,2.24,0.03,1.63,3.99,2.03,4.18,0.10,99.81,4.53,7.48,,5.05,9.24,600,74,214,14,45,25,225,91,85,28,141,104,,,,,,
DP 29,60.36,0.50,17.43,1.46,2.30,0.05,1.87,1.97,1.75,4.57,0.24,99.82,4.32,7.32,,4.97,12.24,728,88,27,14,46,18,251,97,101,32,70,141,,,,,,
DP 30,58.24,0.46,16.72,1.53,2.57,0.04,1.96,2.81,1.83,4.25,0.09,99.82,4.82,9.33,,7.51,13.56,543,79,61,13,43,25,233,87,93,29,70,110,,,,,,
DP 31,62.60,0.54,16.35,2.83,2.72,0.06,1.89,1.20,1.92,3.69,0.12,100.40,6.24,6.46,,6.19,8.94,645,79,32,17,62,35,183,87,98,31,106,130,,,,,,
DP 32,63.75,0.63,17.21,2.19,2.55,0.06,1.96,1.10,1.73,3.99,0.16,100.10,5.26,4.77,,4.77,5.94,656,93,37,19,62,31,209,76,100,39,116,169,,,,,,
DP 33,60.88,0.62,17.49,2.29,3.09,0.08,2.03,0.85,1.65,4.26,0.12,99.85,6.10,6.48,,5.58,9.82,636,91,35,16,59,28,236,65,108,26,99,127,,,,,,
DP 34,63.98,0.55,17.88,2.72,1.23,0.04,2.08,1.40,1.69,4.68,0.16,99.64,4.22,3.24,,3.40,2.91,848,95,25,16,52,29,237,86,109,28,88,125,,,,,,
DP 35,61.63,0.51,18.70,2.69,1.91,0.03,1.86,1.07,1.81,4.51,0.10,99.89,5.06,5.07,,4.88,6.74,656,93,23,14,49,25,242,87,113,23,83,110,,,,,,
DP 36,62.84,0.55,16.61,2.14,2.26,0.05,1.85,1.19,1.84,4.15,0.15,99.96,4.95,6.33,,5.80,9.64,624,79,23,14,50,24,199,99,95,25,102,144,,,,,,
DP 37,63.39,0.52,16.26,2.22,2.42,0.08,1.99,1.47,1.98,3.41,0.26,99.64,5.19,5.66,,4.66,10.15,699,102,34,11,54,41,159,228,99,24,105,125,,,,,,
DP 38,63.95,0.59,16.88,2.96,1.72,0.06,1.69,1.48,2.25,4.06,0.16,99.72,5.06,3.92,,3.43,5.13,658,84,28,20,51,32,204,114,90,40,84,168,,,,,,
DP 39,63.51,0.56,16.48,2.89,2.00,0.05,1.61,1.28,2.19,4.03,0.10,99.74,5.37,5.06,,4.33,7.77,635,81,27,21,50,29,204,103,88,36,79,182,,,,,,
DP 40,64.54,0.55,17.24,2.77,1.63,0.04,1.77,0.86,1.82,4.18,0.13,99.85,4.78,4.31,,3.83,5.50,574,89,404,17,58,32,232,54,96,36,91,117,,,,,,
DP 41,63.74,0.60,16.98,1.63,2.45,0.04,1.85,1.08,1.87,4.20,0.21,99.53,4.56,4.89,,4.64,7.66,670,85,52,16,57,30,225,87,99,35,96,163,,,,,,
DP 42,64.54,0.49,16.01,2.33,2.04,0.06,1.80,1.57,2.24,3.32,0.23,100.31,4.86,5.69,,4.48,9.49,767,93,25,9,50,40,153,250,92,21,95,118,,,,,,
DP 43,62.02,0.60,17.91,3.32,1.64,0.08,1.82,1.13,1.79,4.01,0.08,100.11,5.44,5.72,,5.72,6.45,533,100,49,18,55,28,199,56,109,26,85,128,,,,,,
DP 44,60.81,0.58,17.31,3.39,1.98,0.07,1.83,0.98,1.73,3.90,0.05,99.95,6.02,7.33,,7.67,11.33,498,95,48,16,58,29,192,51,106,28,88,124,,,,,,
DP 45,61.05,0.62,16.97,1.72,3.55,0.07,1.86,1.41,2.30,3.30,0.22,99.97,6.06,6.91,,6.89,10.04,585,81,28,16,56,33,183,115,97,21,93,139,,,,,,
DP 46,61.94,0.63,16.48,2.46,2.64,0.07,2.09,1.22,1.75,3.88,0.10,100.08,5.77,6.80,,5.83,8.61,514,87,33,18,61,32,206,76,102,36,95,172,,,,,,
DP 47,60.24,0.53,14.24,0.73,3.37,0.05,0.80,4.18,1.16,2.63,0.27,100.02,5.05,11.83,,9.34,15.22,452,75,9,17,43,26,143,100,104,30,77,142,,,,,,
DP 48,61.25,0.44,16.60,1.38,2.39,0.05,1.44,2.06,2.22,4.17,0.19,99.86,4.36,7.67,,5.54,13.31,683,73,19,17,41,21,188,115,80,29,60,128,,,,,,
DP 49,67.04,0.49,16.26,1.88,1.60,0.07,1.58,1.40,2.35,3.96,0.13,100.11,3.78,3.34,,2.83,4.40,553,79,22,14,53,25,230,76,73,35,86,121,,,,,,
DP 50,56.22,0.67,16.37,4.80,1.59,0.07,2.45,3.54,1.25,3.14,0.13,99.29,7.21,9.06,,7.22,8.03,572,107,42,14,66,36,170,200,122,22,114,141,,,,,,
DP 51,61.71,0.70,18.07,3.15,1.50,0.06,0.87,2.89,1.33,3.21,0.25,100.07,5.13,6.33,,6.86,4.95,867,84,11,21,55,29,180,130,120,35,73,179,,,,,,
